generation,best_loss,median_loss,worst_loss,number_rmse,parity_tv,column_tv,sum_mean_z,sum_sd_z,range_mean_z,range_sd_z,gap_mean_z,odd_mean_z,transition_tv
0,2.591968,40.108776,92.777969,0.009514,0.025395,0.02872,0.005615,0.00762,0.009386,0.055793,0.001656,0.02339,0.029558
1,2.066773,13.299475,65.515857,0.008436,0.005605,0.032573,0.014225,0.001947,0.025898,0.025348,0.027627,0.016113,0.010481
2,2.04093,7.795348,18.103754,0.008603,0.01005,0.023841,0.022793,0.013431,0.013638,0.028975,0.019789,0.007743,0.016348
3,1.903779,6.691157,39.431948,0.008748,0.01195,0.014982,0.003424,0.042341,0.001878,0.003416,0.015401,0.004057,0.025729
4,1.981331,5.563445,38.846291,0.009802,0.002656,0.020592,0.026071,0.034163,0.006245,0.014442,0.017638,0.007392,0.013591
5,2.085047,6.100462,17.187907,0.009794,0.005156,0.025054,0.005838,0.004168,0.027622,0.004322,0.019021,0.007135,0.031869
6,2.146723,4.916118,15.533942,0.010393,0.00995,0.016159,0.026507,0.018941,0.029002,0.025017,0.020097,0.012103,0.013729
7,1.816023,6.667891,23.010716,0.008347,0.01605,0.013144,0.008417,0.005517,0.000881,0.034244,0.002493,0.008931,0.01911
8,2.177998,3.995952,22.600426,0.008853,0.01055,0.02426,0.026823,0.006787,0.028234,0.0379,0.019858,0.019961,0.02135
9,2.093331,8.99386,25.510416,0.010419,0.008105,0.019902,0.008717,0.004854,0.006283,0.004234,0.026397,0.041508,0.017069
10,1.73196,6.117152,47.057142,0.007114,0.011344,0.016341,0.013792,0.01214,0.005248,0.010523,0.005037,0.030316,0.028897
11,2.147109,7.235621,34.375216,0.007809,0.008656,0.028193,0.029663,0.000716,0.021991,0.00819,0.044069,0.012522,0.041673
