generation,best_loss,best_loss_sd,median_loss,worst_loss,number_rmse,parity_tv,column_tv,sum_mean_z,sum_sd_z,range_mean_z,range_sd_z,gap_mean_z,odd_mean_z,transition_tv,number_rmse_sd,parity_tv_sd,column_tv_sd,sum_mean_z_sd,sum_sd_z_sd,range_mean_z_sd,range_sd_z_sd,gap_mean_z_sd,odd_mean_z_sd,transition_tv_sd
0,1.808702,0.182168,44.16866,92.801268,0.008379,0.007504,0.019603,0.011834,0.017463,0.014807,0.010399,0.016255,0.012123,0.013217,0.000743,0.004234,0.001533,0.008094,0.008695,0.012993,0.007153,0.007057,0.010965,0.002555
1,1.755578,0.160439,13.153358,26.613394,0.007971,0.008794,0.019495,0.011287,0.006402,0.016685,0.005723,0.006822,0.015885,0.017981,0.000432,0.002959,0.005313,0.007108,0.006571,0.004592,0.004358,0.000563,0.004885,0.002578
2,1.940878,0.108257,8.728248,19.356874,0.00835,0.013385,0.020261,0.014075,0.007561,0.007701,0.007401,0.008998,0.012821,0.025435,0.0006,0.004088,0.003793,0.009429,0.006265,0.004047,0.007486,0.004027,0.011291,0.007824
3,1.819046,0.134275,5.51871,22.060178,0.007587,0.011224,0.020673,0.008888,0.006991,0.02109,0.013355,0.023828,0.008189,0.018032,0.00021,0.003952,0.00434,0.006536,0.00552,0.019782,0.008774,0.019083,0.003777,0.00578
4,1.94282,0.183315,4.284217,28.03504,0.008016,0.013746,0.019145,0.016044,0.010309,0.012872,0.011225,0.016981,0.026867,0.021625,0.000454,0.005607,0.00198,0.007373,0.005725,0.008468,0.003413,0.0092,0.016845,0.002299
5,1.59686,0.070979,5.290012,16.596201,0.003355,0.009293,0.020247,0.005757,0.029596,0.015688,0.017495,0.01518,0.004446,0.078353,7e-05,0.001279,0.005814,0.00279,0.008518,0.008215,0.011271,0.010867,0.003053,0.007864
6,1.622403,0.147505,3.589698,18.698699,0.003676,0.008443,0.017243,0.006685,0.030244,0.015229,0.013824,0.012498,0.007862,0.091576,0.000188,0.002651,0.004547,0.002371,0.006434,0.007757,0.011754,0.008421,0.00352,0.007566
7,1.594098,0.259613,2.273508,17.649895,0.004163,0.011075,0.01575,0.01402,0.043058,0.014808,0.012186,0.024434,0.013553,0.051364,0.000293,0.007581,0.003713,0.002988,0.00933,0.005158,0.008628,0.021249,0.010721,0.003865
8,1.563281,0.230673,2.250289,14.331539,0.003512,0.009321,0.015662,0.005322,0.029064,0.018772,0.019702,0.012396,0.011372,0.082916,0.000214,0.003852,0.001712,0.002258,0.016312,0.011308,0.01076,0.009507,0.007112,0.005328
9,1.526229,0.06845,2.068789,7.926824,0.003987,0.007725,0.016526,0.009509,0.0354,0.015459,0.020583,0.005788,0.006175,0.066404,0.000354,0.002795,0.001955,0.006648,0.012039,0.00585,0.015969,0.002253,0.004393,0.014569
