draw,pick,cumulative_profit,roi
1,2,-0.5,-1.0
1,5,-0.5,-1.0
1,7,-0.5,-1.0
1,9,-0.5,-1.0
100,2,-12.0,-0.24
100,5,-43.0,-0.86
100,7,-38.0,-0.76
100,9,-22.0,-0.44
200,2,-19.5,-0.195
200,5,-48.0,-0.48
200,7,-68.0,-0.68
200,9,-32.0,-0.32
300,2,-42.0,-0.28
300,5,-77.0,-0.513333
300,7,-73.5,-0.49
300,9,-61.0,-0.406667
400,2,-61.0,-0.305
400,5,-100.0,-0.5
400,7,-80.0,-0.4
400,9,-93.5,-0.4675
500,2,-81.0,-0.324
500,5,-130.0,-0.52
500,7,-94.0,-0.376
500,9,-119.5,-0.478
600,2,-109.5,-0.365
600,5,-160.0,-0.533333
600,7,-119.0,-0.396667
600,9,-160.5,-0.535
700,2,-124.0,-0.354286
700,5,-181.0,-0.517143
700,7,-125.5,-0.358571
700,9,-101.0,-0.288571
800,2,-144.0,-0.36
800,5,-193.0,-0.4825
800,7,-147.5,-0.36875
800,9,-133.0,-0.3325
900,2,-159.0,-0.353333
900,5,-9.0,-0.02
900,7,-108.5,-0.241111
900,9,-162.0,-0.36
1000,2,-173.5,-0.347
1000,5,173.0,0.346
1000,7,-124.5,-0.249
1000,9,-198.5,-0.397
1100,2,-182.5,-0.331818
1100,5,385.0,0.7
1100,7,2346.5,4.266364
1100,9,-222.0,-0.403636
1200,2,-196.0,-0.326667
1200,5,356.0,0.593333
1200,7,2323.5,3.8725
1200,9,-234.0,-0.39
1300,2,-218.0,-0.335385
1300,5,335.0,0.515385
1300,7,2303.5,3.543846
1300,9,-272.0,-0.418462
1400,2,-228.5,-0.326429
1400,5,304.0,0.434286
1400,7,2276.0,3.251429
1400,9,-308.0,-0.44
1500,2,-245.0,-0.326667
1500,5,279.0,0.372
1500,7,2265.5,3.020667
1500,9,-343.0,-0.457333
1600,2,-262.0,-0.3275
1600,5,247.0,0.30875
1600,7,2245.0,2.80625
1600,9,-357.5,-0.446875
1700,2,-272.5,-0.320588
1700,5,209.0,0.245882
1700,7,2227.5,2.620588
1700,9,-366.5,-0.431176
1800,2,-293.5,-0.326111
1800,5,176.0,0.195556
1800,7,2192.0,2.435556
1800,9,-394.0,-0.437778
1900,2,-306.5,-0.322632
1900,5,157.0,0.165263
1900,7,2165.0,2.278947
1900,9,-315.0,-0.331579
2000,2,-332.0,-0.332
2000,5,132.0,0.132
2000,7,2134.0,2.134
2000,9,-350.0,-0.35
2100,2,-340.0,-0.32381
2100,5,99.0,0.094286
2100,7,2099.0,1.999048
2100,9,-369.5,-0.351905
2200,2,-349.5,-0.317727
2200,5,75.0,0.068182
2200,7,2076.0,1.887273
2200,9,-411.0,-0.373636
2300,2,-355.0,-0.308696
2300,5,32.0,0.027826
2300,7,2059.0,1.790435
2300,9,-426.5,-0.37087
2400,2,-372.5,-0.310417
2400,5,234.0,0.195
2400,7,2025.5,1.687917
2400,9,-430.0,-0.358333
2500,2,-392.5,-0.314
2500,5,221.0,0.1768
2500,7,2063.5,1.6508
2500,9,-443.0,-0.3544
2600,2,-409.0,-0.314615
2600,5,402.0,0.309231
2600,7,2043.5,1.571923
2600,9,-483.5,-0.371923
2700,2,-415.0,-0.307407
2700,5,380.0,0.281481
2700,7,2063.5,1.528519
2700,9,-513.0,-0.38
2800,2,-430.5,-0.3075
2800,5,350.0,0.25
2800,7,2028.5,1.448929
2800,9,-545.0,-0.389286
2900,2,-446.0,-0.307586
2900,5,316.0,0.217931
2900,7,2010.0,1.386207
2900,9,-575.0,-0.396552
3000,2,-457.5,-0.305
3000,5,295.0,0.196667
3000,7,1983.0,1.322
3000,9,-609.0,-0.406
3100,2,-481.5,-0.310645
3100,5,271.0,0.174839
3100,7,1946.5,1.255806
3100,9,-521.5,-0.336452
3200,2,-505.5,-0.315937
3200,5,246.0,0.15375
3200,7,1930.0,1.20625
3200,9,-534.0,-0.33375
3300,2,-520.0,-0.315152
3300,5,214.0,0.129697
3300,7,1899.0,1.150909
3300,9,-569.0,-0.344848
3400,2,-538.5,-0.316765
3400,5,168.0,0.098824
3400,7,1869.5,1.099706
3400,9,-605.5,-0.356176
3500,2,-561.5,-0.320857
3500,5,363.0,0.207429
3500,7,1830.5,1.046
3500,9,-633.5,-0.362
3600,2,-570.0,-0.316667
3600,5,342.0,0.19
3600,7,1800.0,1.0
3600,9,-661.0,-0.367222
