draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12,para1_kino_2,para1_kino_3,para1_kino_4,para1_kino_5,para1_kino_6,para1_kino_7,para1_kino_8,para1_kino_9,parity_odd,parity_even,parity_draw,column_random
1,-0.22,-0.17,-0.14,-0.304,-0.28,-0.202,-0.202,-0.328,-0.31,-0.328,-0.358,-0.312,-0.27,-0.22,-0.516,-0.42,-0.242,-0.702,-0.828,-0.81,-0.112,-0.1,-0.076,-0.084
2,-0.39,-0.372,-0.305,-0.636,-0.62,-0.54,-0.464,-0.632,-0.624,-0.656,-0.684,-0.638,-0.556,-0.615,-1.092,-1.02,-1.08,-1.464,-1.632,-1.624,-0.244,-0.192,-0.128,-0.28
3,-0.605,-0.558,-0.45,-0.762,-0.916,-0.792,-0.502,-0.836,-0.86,-0.928,-0.994,-0.914,-0.874,-0.95,-1.43,-1.456,-1.372,-0.202,-2.336,-2.36,-0.344,-0.28,-0.252,-0.156
4,-0.8,-0.666,-0.59,-1.026,-1.268,-1.122,-0.798,-1.18,-1.186,-1.208,-1.258,-1.246,-1.138,-1.17,-1.682,-2.188,-2.202,-0.998,-3.18,-3.186,-0.488,-0.32,-0.384,-0.16
5,-0.91,-0.762,-0.69,-1.08,-1.46,-1.232,-0.838,0.564,-1.008,-1.184,-1.152,-1.08,-1.306,-1.37,-1.692,-2.28,-1.892,0.262,6.464,-3.508,-0.588,-0.432,-0.46,-0.212
6,-1.065,-0.932,-0.975,-1.398,-1.864,-1.584,-1.094,0.272,-1.326,-1.548,-1.48,-1.412,-1.576,-1.825,-2.19,-3.184,-2.744,-0.494,5.672,-4.326,-0.732,-0.504,-0.528,-0.376
7,-1.31,-1.088,-1.005,-1.316,-2.1,-1.812,-1.286,0.064,-1.602,-1.824,-1.726,-1.718,-1.864,-2.015,-2.288,-3.44,-3.012,-1.186,4.964,-5.102,-0.904,-0.56,-0.572,-0.588
8,-1.51,-1.264,-1.335,-1.66,-2.488,-2.042,-1.374,-0.144,-1.814,-1.756,-1.436,-1.404,-2.172,-2.505,-2.94,-4.208,-3.282,0.026,4.256,-5.814,-1.0,-0.688,-0.624,-0.656
9,-1.705,-1.424,-1.38,-1.958,-2.784,-2.262,-1.584,-0.448,-2.108,-1.996,-1.576,-1.34,-2.452,-2.74,-3.29,-4.644,-3.542,-0.684,3.452,-6.608,-1.152,-0.744,-0.708,-0.772
10,-1.88,-1.586,-1.58,-1.884,-2.216,-2.4,-1.772,-0.8,-2.478,-2.276,-1.784,-1.646,-2.718,-3.14,-3.428,-4.336,-3.26,-1.372,2.6,-7.478,-1.256,-0.836,-0.816,-0.872
