strategy,stake_per_draw,mean_final_profit,median_final_profit,stdev_final_profit,min_final_profit,max_final_profit,profitable_run_pct,mean_rtp
plain_kino_1,0.5,-1876.595,-1879.375,54.3713,-1995.0,-1692.5,0.0,0.624681
plain_kino_2,0.5,-1605.616,-1607.75,58.5209,-1745.0,-1467.5,0.0,0.678877
plain_kino_3,0.5,-1534.915,-1528.125,141.5985,-1901.25,-1103.75,0.0,0.693017
plain_kino_4,0.5,-1564.15,-1568.25,291.9677,-2315.5,-745.0,0.0,0.68717
plain_kino_5,0.5,-1533.512,-1532.0,569.1441,-2986.0,325.0,0.8,0.693298
plain_kino_6,0.5,-1533.038,-1719.0,954.6527,-3047.0,2437.0,5.6,0.693392
plain_kino_7,0.5,-1459.348,-2056.5,1289.826,-2710.5,3184.5,23.2,0.70813
plain_kino_8,0.5,-1462.708,-1823.0,1929.2975,-3119.0,7349.0,6.0,0.707458
plain_kino_9,0.5,-1302.734,-2122.25,2434.1351,-2940.5,17686.0,10.0,0.739453
plain_kino_10,0.5,-1505.644,-1878.5,1360.0448,-2715.0,3585.0,8.0,0.698871
plain_kino_11,0.5,-1564.348,-1707.25,866.1832,-2714.0,6495.5,2.0,0.68713
plain_kino_12,0.5,-1478.906,-1553.75,643.2811,-2800.5,729.5,2.0,0.704219
para1_kino_2,1.0,-2810.168,-2812.5,81.5353,-3040.0,-2571.0,0.0,0.718983
para1_kino_3,1.0,-3070.345,-3056.25,179.3961,-3606.25,-2511.25,0.0,0.692966
para1_kino_4,1.0,-3113.046,-3130.5,353.4079,-3956.0,-2186.0,0.0,0.688695
para1_kino_5,1.0,-2917.072,-2950.0,711.8405,-4805.0,-685.0,0.0,0.708293
para1_kino_6,1.0,-3044.398,-3077.5,1241.4856,-5977.0,1922.0,1.6,0.69556
para1_kino_7,1.0,-3192.348,-3432.75,1821.2895,-6810.5,3134.5,4.8,0.680765
para1_kino_8,1.0,-3220.308,-2623.0,3614.8453,-8119.0,12849.0,17.2,0.677969
para1_kino_9,1.0,-2342.734,-7122.25,7578.6111,-7940.5,28541.0,34.4,0.765727
parity_odd,0.5,-1021.712,-1017.5,48.3016,-1188.0,-887.0,0.0,0.795658
parity_even,0.5,-1013.328,-1014.5,48.1751,-1182.0,-885.0,0.0,0.797334
parity_draw,0.5,-929.92,-930.0,84.5237,-1124.0,-704.0,0.0,0.814016
column_random,0.5,-995.328,-992.0,122.8975,-1352.0,-616.0,0.0,0.800934
