draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12
1,-0.2208,-0.15,-0.0792,0.0333,-0.1933,-0.1783,-0.1767,-0.3067,-0.2717,-0.3033,-0.34,-0.3283
2,-0.4,-0.3667,-0.2792,-0.31,-0.5433,-0.5317,-0.4583,-0.6267,-0.5917,-0.6133,-0.6467,-0.62
3,-0.5875,-0.545,-0.4542,-0.4733,-0.8567,-0.7933,-0.5083,-0.7667,-0.8,-0.7733,-0.56,-0.6767
4,-0.7458,-0.6417,-0.5833,-0.7383,-1.18,-1.1217,-0.765,-1.0767,-1.0717,-0.9967,-0.8,-0.9633
5,-0.8708,-0.7333,-0.6667,-0.8233,-1.3367,-1.2567,-0.84,0.33,-0.965,-1.0333,-0.7467,-0.8517
6,-1.025,-0.89,-0.9125,-1.125,-1.6467,-1.5067,-1.0733,0.1067,-0.9433,-1.21,-0.9767,-1.105
7,-1.2875,-1.06,-0.9875,-1.1167,-1.9,-1.7433,-1.2267,-0.1033,-1.2217,-1.43,-1.2,-1.3717
8,-1.4708,-1.2,-1.25,-1.4233,-2.2167,-1.915,-1.295,-0.3167,-1.4317,-1.37,-0.99,-1.1233
9,-1.6583,-1.3533,-1.3417,-1.7217,-2.53,-2.1583,-1.5267,-0.6267,-1.7433,-1.61,-1.15,-1.0967
10,-1.8458,-1.5167,-1.575,-1.7217,-2.13,-2.33,-1.7533,-0.9833,-2.0917,-1.8933,-1.3883,-1.3933
11,-1.9917,-1.6217,-1.5167,-1.5083,-1.5667,0.21,-1.645,0.5467,-1.9883,-1.8567,-1.0883,-1.3883
12,-2.1542,-1.8117,-1.8375,-1.8483,-1.9667,-0.1283,-1.9933,0.17,-2.3317,-2.18,-1.4517,-1.6717
13,-2.3208,-1.96,-1.9708,-2.1617,-2.2733,-0.2767,-2.2267,-0.1567,-2.5733,-2.3733,-1.505,-1.835
14,-2.5125,-2.1417,-2.2583,-2.3067,-2.5167,-0.5733,-2.455,-0.3867,-2.5317,-2.4367,-1.2933,-0.3533
15,-2.6667,-2.27,-2.4417,-2.4383,-2.7,-0.7267,-2.6517,-0.6,-2.7733,-2.5933,-1.5433,-0.5833
16,-2.8625,-2.4617,-2.6292,-2.435,-2.99,-0.9533,-2.8817,-0.8667,-3.0833,-2.9367,-1.8767,-0.905
17,-3.0833,-2.6183,-2.7625,-2.7333,-3.4,-1.325,-3.225,-1.2367,-3.3967,-3.16,-2.035,-1.1467
18,-3.2958,-2.7783,-2.9375,-3.0217,-3.58,-1.5217,-3.315,0.2,-3.355,-3.2133,-2.09,-1.3167
19,-3.4583,-2.95,-2.9833,-2.995,-3.1833,-1.72,-3.5567,-0.07,-3.66,-3.45,-2.3317,-1.6133
20,-3.6625,-3.145,-3.1125,-2.975,-2.6467,-1.6883,-3.3833,1.4533,2.8133,13.1233,-0.0267,-0.205
21,-3.8792,-3.2917,-3.3125,-3.13,-2.22,-1.9633,-3.6267,1.12,2.475,12.7967,-0.3767,-0.5333
22,-4.0417,-3.4433,-3.4792,-3.2717,-2.5567,-2.2983,-3.8683,0.7867,2.1883,12.5733,-0.6,-0.8083
23,-4.225,-3.575,-3.55,-3.375,-2.6267,-2.5567,-4.0517,0.6133,2.005,12.4033,-0.565,-0.9833
24,-4.4083,-3.6517,-3.5,-3.3,-2.6367,-2.63,-4.1183,0.5167,1.8283,12.22,-0.7683,-1.215
25,-4.6542,-3.8367,-3.6,-3.4483,-2.8933,-2.79,-4.3417,0.2367,1.6317,12.0567,-0.9417,-1.4683
26,-4.825,-3.9783,-3.7583,-3.7583,-3.2433,-3.095,-4.59,0.1033,1.7083,12.0167,-1.1467,-1.7433
27,-4.9833,-4.1083,-3.7833,-3.835,-3.4733,-3.3067,-4.7683,-0.03,1.4733,11.7967,-1.21,-1.665
28,-5.1917,-4.2583,-3.8625,-3.8067,-3.6867,-3.6133,-5.015,-0.2133,1.1933,11.46,-1.46,-1.7567
29,-5.35,-4.4267,-3.9333,-3.9217,-3.9233,-3.925,-5.19,-0.4267,0.9367,11.35,-1.6367,-1.8217
30,-5.5083,-4.5317,-4.025,-4.06,-4.1867,-3.9867,-5.0733,-0.48,1.0983,11.4867,-1.6517,-1.7817
31,-5.7083,-4.6767,-4.0875,-4.3383,-4.4367,-4.1717,-4.9817,-0.61,1.1233,11.3333,-1.4967,-1.7417
32,-5.85,-4.8217,-4.2792,-4.5117,-4.7567,-4.4017,-5.1117,-0.8067,1.135,11.2033,-1.6817,-1.9733
33,-6.0375,-4.98,-4.4125,-4.805,-4.9533,-4.515,-5.3,-0.8433,0.945,11.06,-1.8767,-2.165
34,-6.2167,-5.1517,-4.5125,-4.465,-3.7367,-2.12,-5.4067,0.5067,0.935,10.85,-2.0667,-2.465
35,-6.3917,-5.2317,-4.475,-4.585,-3.94,-2.375,-5.6417,0.3233,0.9983,10.8267,-2.1617,-2.6833
36,-6.5833,-5.4083,-4.6292,-4.7617,-4.2,-2.545,-5.71,0.0867,0.7633,10.6633,-2.4033,-2.9083
37,-6.7458,-5.53,-4.75,-4.7567,-4.5333,-2.8867,-5.9883,-0.1867,0.535,10.42,-2.6283,-3.2067
38,-6.9083,-5.6733,-4.9,-5.06,-4.7867,-3.1033,-6.18,-0.4767,0.58,10.3033,-2.7283,-3.3683
39,-7.0625,-5.8217,-5.0667,-5.3183,-5.0467,-3.2533,-6.2517,-0.7167,0.5733,10.7867,-2.5767,-3.395
40,-7.2583,-5.96,-5.0958,-5.1,-3.0367,-0.6933,-6.1117,0.8133,0.6733,10.7033,-2.6617,-3.4417
41,-7.4333,-6.1,-5.2417,-5.3967,-3.35,-0.8833,-6.2317,0.5867,0.72,10.5733,-2.845,-3.7183
42,-7.625,-6.2333,-5.2208,-5.355,-2.1667,1.5133,1.7967,1.8967,7.075,26.8733,21.805,0.0983
43,-7.8375,-6.4267,-5.3458,-5.6567,-2.4567,1.2517,1.7083,1.6033,6.7617,26.5667,21.5233,-0.2067
44,-8.0417,-6.5983,-5.5,-5.7983,-2.76,0.9767,1.4617,1.27,6.4317,26.32,21.3233,-0.4583
45,-8.2125,-6.7283,-5.6292,-5.9417,-3.0767,0.6317,1.1567,0.9233,6.1167,26.0533,21.0867,-0.7917
46,-8.3458,-6.8733,-5.625,-6.0783,-3.3933,0.2767,0.8767,0.67,5.85,25.84,20.9233,-1.0033
47,-8.525,-7.0617,-5.7875,-6.41,-3.78,-0.0867,0.5283,0.3133,5.47,25.46,20.54,-1.4133
48,-8.7042,-7.21,-5.9292,-6.5317,-3.37,-0.2733,0.3467,0.1467,5.1967,25.23,20.3567,-1.4133
49,-8.8917,-7.3983,-6.1125,-6.5483,-3.6433,-0.6017,0.0033,-0.25,4.7867,24.8767,20.0067,-1.78
50,-9.1,-7.57,-6.2417,-6.8583,-3.9,-0.9233,-0.225,-0.4533,4.5567,24.8933,20.1583,-1.8517
51,-9.3542,-7.7633,-6.3083,-7.0083,-3.3833,-0.9867,-0.0467,-0.56,4.3383,24.8667,20.0267,-2.0767
52,-9.5583,-7.9583,-6.4458,-7.1567,-3.59,-1.1717,-0.1317,-0.73,4.3867,24.6833,20.2767,-2.0633
53,-9.7167,-8.0917,-6.525,-7.4117,-3.84,-1.4067,-0.365,-1.0367,4.1017,24.4367,20.0083,-2.2933
54,-9.9292,-8.275,-6.7958,-7.725,-4.2067,-1.7017,-0.6117,-1.3733,3.745,24.11,19.685,-2.5817
55,-10.175,-8.45,-7.0875,-8.04,-4.5633,-1.965,-0.82,-1.6233,3.7183,23.89,19.4133,-2.885
56,-10.3417,-8.57,-7.1792,-8.1467,-4.8933,-2.2817,-1.08,-1.9733,3.43,23.5733,19.11,-3.2533
57,-10.4875,-8.6883,-7.375,-8.4617,-5.2067,-2.5983,-1.365,-2.3367,3.1067,23.3833,18.8683,-3.5283
58,-10.6417,-8.9017,-7.6417,-8.61,-5.5633,-2.9283,-1.6283,-2.6367,2.8533,23.0933,18.605,-3.6383
59,-10.8125,-9.0583,-7.7542,-8.6217,-5.86,-3.2467,-1.9067,-2.9333,2.5333,22.83,18.2633,-3.965
60,-10.9792,-9.2033,-7.975,-8.9183,-6.15,-3.4467,-2.095,-3.15,2.3383,22.68,18.045,-4.2333
61,-11.1875,-9.4133,-8.2708,-9.2583,-6.58,-3.835,-2.4533,-3.5433,1.9867,22.4667,17.7583,-4.5083
62,-11.3542,-9.57,-8.3458,-9.5167,-6.81,-4.0917,-2.6617,-3.79,1.795,22.35,17.65,-4.74
63,-11.525,-9.705,-8.5583,-9.8183,-7.0167,-4.305,-2.8567,-4.08,1.4917,22.1533,17.53,-4.9617
64,-11.6917,-9.85,-8.7625,-9.96,-7.32,-4.555,-2.9683,-2.7267,1.515,21.9333,17.2567,-4.99
65,-11.8292,-9.9583,-8.8667,-10.2433,-7.6067,-4.8717,-3.2117,-3.05,1.2333,21.6167,17.0467,-5.295
66,-12.0167,-10.1233,-8.9708,-10.38,-7.9933,-5.21,-3.5,-3.37,0.8733,21.25,16.715,-5.6633
67,-12.1958,-10.2467,-9.025,-10.1867,-7.55,-2.7633,-3.5417,-3.6167,0.5783,20.9567,16.4517,-5.9283
68,-12.4333,-10.4417,-9.1333,-10.335,-7.0767,-0.42,-3.6267,-3.8,0.3033,20.8667,16.2183,-6.2067
69,-12.5542,-10.56,-9.2208,-10.6183,-7.4,-0.7317,-3.9,-4.0367,0.095,20.72,16.2883,-6.315
70,-12.7875,-10.75,-9.4167,-10.7533,-7.7,-1.0783,-4.195,-4.34,-0.26,20.3667,15.94,-6.695
71,-12.9875,-10.9283,-9.675,-11.1,-8.07,-1.485,-4.5617,-4.7333,-0.6217,20.0067,15.6833,-6.79
72,-13.1667,-11.0967,-9.8167,-11.2383,-7.6367,-1.7133,-4.7483,-4.8633,-0.5267,19.9633,15.6267,-6.9783
73,-13.4,-11.295,-10.0375,-11.5333,-7.93,-1.9483,-4.8133,-5.1,-0.7867,19.6533,15.46,-7.0533
74,-13.5667,-11.465,-10.1375,-11.6883,-7.5667,-2.18,-4.8883,-5.2533,-0.4967,21.0,18.1367,-2.8983
75,-13.7583,-11.6683,-10.3417,-12.0217,-7.91,-2.5533,-5.19,-5.5167,-0.5,20.8333,18.2383,-2.945
76,-13.9583,-11.8167,-10.3583,-11.9733,-8.1767,-2.7633,-5.36,-5.6467,-0.4217,20.6533,18.4167,-2.9383
77,-14.1,-11.96,-10.375,-12.275,-8.4867,-3.0883,-5.6883,-5.9767,-0.765,20.3233,18.0767,-3.2417
78,-14.2708,-12.14,-10.6667,-12.6067,-8.85,-3.4683,-6.035,-6.3933,-1.1367,19.93,17.705,-3.6017
79,-14.4333,-12.2667,-10.8667,-12.915,-9.2267,-3.8483,-6.3283,-6.7333,-1.48,19.6667,17.4517,-3.8567
