draw,portfolio_plain_draw_column_2,portfolio_bonus_draw_column_2,portfolio_para1_draw_column_2,portfolio_para1_bonus_draw_column_2,portfolio_plain_draw_column_5,portfolio_bonus_draw_column_5,portfolio_para1_draw_column_5,portfolio_para1_bonus_draw_column_5,portfolio_plain_draw_column_7,portfolio_bonus_draw_column_7,portfolio_para1_draw_column_7,portfolio_para1_bonus_draw_column_7
1,-0.4967,-0.7633,-0.5967,-0.8633,-0.54,-0.655,-0.44,-0.555,-0.5233,-0.5267,-1.0233,-1.0267
2,-1.1533,-1.6867,-1.3367,-1.87,-1.33,-1.4517,-1.53,-1.6517,-1.245,-1.4833,-2.245,-2.4833
3,-1.2917,-1.9,-1.5817,-2.19,-1.6033,-1.9083,-2.0033,-2.3083,-1.255,-1.57,-1.255,-1.57
4,-1.6817,-2.19,-2.0983,-2.6067,-2.22,-2.5283,-2.92,-3.2283,-1.805,-2.2117,-2.305,-2.7117
5,-2.0267,-2.7517,-2.5267,-3.2517,-2.63,-2.9067,-3.13,-3.4067,-2.1333,-2.3433,-1.6333,-1.8433
6,-2.6633,-3.555,-3.2767,-4.1683,-3.42,-4.0083,-4.12,-4.7083,-2.8467,-3.3133,-2.8467,-3.3133
7,-3.38,-4.6217,-4.1167,-5.3583,-4.22,-5.175,-5.02,-5.975,-3.5467,-4.3767,-4.0467,-4.8767
8,-3.76,-5.2183,-4.6267,-6.085,-4.7767,-5.9317,-5.7767,-6.9317,-3.855,-4.8317,-3.355,-4.3317
9,-4.14,-5.6483,-5.1133,-6.6217,-5.3167,-6.7617,-6.5167,-7.9617,-4.3133,-5.5583,-4.3133,-5.5583
10,-4.73,-6.4717,-5.7967,-7.5383,-5.3433,-7.1817,-6.8433,-8.6817,-4.9667,-6.5617,-5.4667,-7.0617
11,-5.155,-6.8633,-6.3483,-8.0567,-5.1,-6.9767,-6.4,-8.2767,-5.1783,-6.44,-3.1783,-4.44
12,-5.625,-7.4083,-6.9317,-8.715,-5.78,-7.9933,-7.48,-9.6933,-5.8067,-7.42,-4.3067,-5.92
13,-6.3333,-8.2,-7.77,-9.6367,-6.6467,-9.225,-8.5467,-11.125,-6.6,-8.5083,-5.6,-7.5083
14,-6.7817,-8.6983,-8.3483,-10.265,-7.1567,-9.9283,-9.0567,-11.8283,-7.095,-9.265,-6.595,-8.765
15,-7.27,-9.3367,-8.9433,-11.01,-7.7,-10.7983,-9.5,-12.5983,-7.6517,-9.995,-7.6517,-9.995
16,-8.0483,-10.3317,-9.855,-12.1383,-8.5767,-11.9317,-10.4767,-13.8317,-8.4683,-10.9217,-8.9683,-11.4217
17,-8.3517,-10.635,-10.2883,-12.5717,-9.1333,-12.7333,-11.5333,-15.1333,-8.9583,-11.6483,-9.9583,-12.6483
18,-9.1383,-11.6633,-11.2283,-13.7533,-9.94,-13.7417,-12.14,-15.9417,-9.675,-12.5433,-9.675,-12.5433
19,-9.83,-12.4383,-12.03,-14.6383,-10.0633,-14.1967,-12.5633,-16.6967,-10.4367,-13.575,-10.9367,-14.075
20,-10.225,-12.9167,-12.5817,-15.2733,-9.7267,-13.6917,-12.1267,-16.0917,-10.4633,-12.775,-8.4633,-10.775
21,-10.8917,-13.9,-13.3917,-16.4,-9.82,-14.09,-12.42,-16.69,-11.2267,-13.8417,-9.7267,-12.3417
22,-11.6433,-14.9767,-14.2467,-17.58,-10.7567,-15.435,-13.6567,-18.335,-12.0683,-15.0917,-11.0683,-14.0917
23,-12.2283,-15.62,-14.945,-18.3367,-11.28,-15.96,-13.68,-18.36,-12.705,-15.96,-12.205,-15.46
24,-12.305,-15.805,-15.175,-18.675,-11.29,-16.005,-12.99,-17.705,-12.7717,-16.105,-12.7717,-16.105
25,-12.7033,-16.4367,-15.7433,-19.4767,-11.76,-16.7183,-13.46,-18.4183,-13.2083,-16.6583,-13.7083,-17.1583
26,-13.5117,-17.72,-16.7183,-20.9267,-12.7767,-18.0867,-14.7767,-20.0867,-14.1233,-17.8917,-15.1233,-18.8917
27,-14.3483,-18.6067,-17.6817,-21.94,-13.7133,-19.2833,-15.8133,-21.3833,-15.0083,-18.79,-16.5083,-20.29
28,-15.085,-19.61,-18.5017,-23.0267,-14.5133,-20.3767,-16.5133,-22.3767,-15.8417,-19.8833,-17.8417,-21.8833
29,-15.4667,-20.4167,-19.0033,-23.9533,-14.9633,-21.0317,-16.9633,-23.0317,-16.23,-20.4583,-18.73,-22.9583
30,-15.8117,-20.6533,-19.4083,-24.25,-15.4667,-21.7067,-17.5667,-23.8067,-16.3533,-20.4083,-16.3533,-20.4083
31,-16.5833,-21.5667,-20.3033,-25.2867,-16.3433,-22.845,-18.4433,-24.945,-16.8883,-20.6683,-14.3883,-18.1683
32,-17.115,-22.1567,-20.925,-25.9667,-17.05,-23.86,-19.35,-26.16,-17.405,-21.485,-13.905,-17.985
33,-17.7,-22.6833,-21.6267,-26.61,-17.6733,-24.5567,-19.7733,-26.6567,-18.02,-22.2483,-15.02,-19.2483
