draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12,para1_kino_2,para1_kino_3,para1_kino_4,para1_kino_5,para1_kino_6,para1_kino_7,para1_kino_8,para1_kino_9,parity_odd,parity_even,parity_draw,column_random
1,-0.1925,-0.152,-0.1325,-0.008,-0.246,-0.227,-0.184,-0.272,-0.113,0.192,-0.033,-0.16,-0.276,-0.2475,-0.204,-0.266,-0.497,-0.684,-0.772,-0.613,-0.096,-0.104,-0.1,-0.1
2,-0.3825,-0.341,-0.255,-0.146,-0.126,-0.519,-0.361,-0.572,-0.427,-0.076,-0.322,-0.424,-0.563,-0.565,-0.618,-0.406,-1.059,-0.461,-1.572,-1.427,-0.216,-0.202,-0.164,-0.248
3,-0.5625,-0.495,-0.3875,-0.26,0.086,-0.649,-0.369,-0.738,-0.502,-0.234,-0.344,-0.419,-0.845,-0.8625,-0.864,-0.154,-0.769,0.831,-2.238,-2.002,-0.326,-0.304,-0.24,-0.22
4,-0.7425,-0.629,-0.5375,-0.545,-0.242,-0.991,-0.624,-1.0,-0.76,-0.358,-0.554,-0.701,-1.107,-1.1125,-1.249,-0.742,-1.611,0.076,-3.0,-2.76,-0.458,-0.374,-0.336,-0.256
5,-0.88,-0.73,-0.5875,-0.7,-0.428,-1.174,-0.721,-0.226,-0.807,-0.468,-0.549,-0.581,-1.3,-1.2625,-1.312,-0.828,-1.834,0.379,1.474,-3.307,-0.556,-0.476,-0.436,-0.316
6,-1.035,-0.891,-0.82,-1.007,-0.736,-1.409,-0.97,-0.48,-0.927,-0.672,-0.818,-0.844,-1.553,-1.66,-1.735,-1.336,-2.109,-0.37,0.72,-3.927,-0.692,-0.56,-0.496,-0.44
7,-1.28,-1.08,-0.955,-1.042,-1.016,-1.66,-1.191,-0.742,-1.233,-0.928,-1.053,-1.072,-1.88,-1.965,-2.03,-1.756,-2.4,-1.091,-0.042,-4.733,-0.824,-0.646,-0.56,-0.596
8,-1.4625,-1.238,-1.175,-1.346,-1.34,-1.822,-1.169,0.02,-1.298,-0.96,-1.018,-0.918,-2.164,-2.325,-2.498,-2.28,-2.142,1.131,4.42,-5.298,-0.936,-0.766,-0.596,-0.672
9,-1.6725,-1.42,-1.365,-1.66,-1.634,-2.031,-1.323,-0.264,-1.441,-1.152,-1.001,-0.861,-2.46,-2.695,-2.96,-2.714,-2.161,1.377,3.636,-5.941,-1.056,-0.85,-0.688,-0.724
10,-1.8475,-1.592,-1.61,-1.701,-1.52,-2.221,-1.555,-0.57,-1.779,-1.438,-1.275,-1.169,-2.746,-3.13,-3.277,-2.86,-2.161,0.645,2.83,-6.779,-1.16,-0.958,-0.764,-0.816
11,-2.025,-1.709,-1.5975,-1.685,-1.318,-0.827,-1.605,0.238,-1.845,-1.478,-1.205,-1.273,-3.007,-3.2425,-3.297,-2.678,-0.807,1.895,7.338,-7.345,-1.282,-1.068,-0.8,-0.892
12,-2.2025,-1.901,-1.86,-1.911,-1.222,-1.117,-1.871,-0.07,-2.158,-1.762,-1.446,-1.555,-3.313,-3.63,-3.735,-2.842,-1.137,1.129,6.53,-8.158,-1.414,-1.164,-0.844,-0.968
13,-2.39,-2.077,-2.04,-2.223,-1.552,-1.316,-2.049,-0.354,-2.426,-1.996,-1.594,-1.758,-3.621,-3.97,-4.259,-3.432,-1.146,1.351,5.746,-8.926,-1.49,-1.256,-1.008,-1.1
14,-2.595,-2.264,-2.275,-2.432,-1.85,-1.629,-2.283,-0.618,-2.519,-2.11,-1.551,-0.981,-3.922,-4.375,-4.6,-3.87,-1.959,0.617,4.982,-9.519,-1.606,-1.346,-1.096,-1.144
15,-2.725,-2.39,-2.44,-2.634,-2.098,-1.848,-2.522,-0.858,-2.607,-2.266,-1.795,-1.199,-4.14,-4.67,-4.95,-4.138,-2.448,-0.122,4.242,-10.107,-1.718,-1.474,-1.116,-1.236
16,-2.9375,-2.595,-2.625,-2.745,-2.42,-2.12,-2.733,-1.152,-2.906,-2.508,-2.076,-1.371,-4.475,-5.075,-5.193,-4.72,-2.99,-0.833,3.448,-10.906,-1.81,-1.558,-1.264,-1.36
17,-3.1475,-2.755,-2.7625,-3.056,-2.78,-2.474,-3.03,-1.466,-3.227,-2.73,-2.293,-1.51,-4.775,-5.3375,-5.684,-5.4,-3.844,-1.63,2.634,-11.727,-1.89,-1.696,-1.328,-1.476
18,-3.3175,-2.894,-2.8875,-3.333,-3.0,-2.654,-3.079,0.27,-3.118,-2.764,-2.368,-1.696,-5.032,-5.5625,-5.997,-5.58,-4.064,-0.379,12.27,-12.118,-1.99,-1.782,-1.456,-1.576
19,-3.4975,-3.082,-2.9825,-3.263,-2.876,-2.838,-3.288,0.014,-3.38,-3.004,-2.635,-2.02,-5.326,-5.8475,-6.171,-5.656,-4.058,-1.088,11.514,-12.88,-2.086,-1.866,-1.596,-1.652
20,-3.7225,-3.29,-3.135,-3.371,-2.642,-2.802,-3.262,0.856,0.433,6.866,-1.302,-1.252,-5.69,-6.205,-6.427,-5.322,-2.912,0.238,16.056,10.433,-2.172,-2.014,-1.628,-1.736
21,-3.92,-3.436,-3.295,-3.492,-2.478,-2.998,-3.478,0.6,0.183,6.676,-1.484,-1.51,-5.988,-6.535,-6.776,-5.238,-2.918,-0.478,15.3,9.683,-2.282,-2.108,-1.72,-1.868
22,-4.095,-3.586,-3.49,-3.612,-2.754,-3.274,-3.723,0.302,-0.081,6.488,-1.672,-1.77,-6.268,-6.87,-7.092,-5.594,-3.464,-1.223,14.502,8.919,-2.392,-2.212,-1.792,-1.968
23,-4.265,-3.718,-3.5775,-3.691,-2.886,-3.52,-3.869,0.14,-0.247,6.458,-1.469,-1.645,-6.514,-7.0825,-7.191,-5.446,-4.21,-1.869,13.84,8.253,-2.502,-2.296,-1.904,-2.092
24,-4.4675,-3.855,-3.6625,-3.772,-3.034,-3.691,-4.021,0.022,-0.414,6.274,-1.676,-1.879,-6.815,-7.2875,-7.34,-5.314,-4.421,-2.521,13.222,7.586,-2.654,-2.38,-1.932,-2.048
25,-4.6825,-4.011,-3.76,-3.972,-3.304,-3.848,-4.211,-0.198,-0.6,6.092,-1.827,-2.103,-7.113,-7.53,-7.64,-5.664,-4.388,-3.211,12.502,6.9,-2.8,-2.414,-2.072,-2.1
26,-4.86,-4.16,-3.9775,-4.277,-3.616,-4.167,-4.432,-0.308,-0.426,6.068,-1.818,-2.227,-7.39,-7.8825,-8.141,-6.176,-4.977,-3.932,11.892,6.574,-2.908,-2.486,-2.212,-2.208
27,-5.0525,-4.328,-4.1125,-4.457,-3.898,-4.428,-4.638,-0.434,-0.295,5.976,-1.867,-2.218,-7.694,-8.0875,-8.405,-6.658,-5.738,-4.638,11.266,6.205,-3.002,-2.612,-2.272,-2.412
28,-5.2325,-4.48,-4.2225,-4.468,-4.112,-4.696,-4.816,-0.644,-0.409,5.688,-2.107,-2.395,-7.93,-8.3675,-8.596,-6.772,-6.276,-4.416,10.556,5.591,-3.102,-2.704,-2.388,-2.568
29,-5.415,-4.649,-4.37,-4.668,-4.366,-5.003,-5.028,-0.912,-0.708,5.482,-2.353,-2.587,-8.207,-8.66,-8.928,-7.046,-7.083,-5.128,9.788,4.792,-3.212,-2.818,-2.44,-2.66
30,-5.56,-4.773,-4.4675,-4.782,-4.68,-5.198,-5.102,-1.112,-0.771,5.392,-2.533,-2.742,-8.409,-8.9025,-9.286,-7.56,-7.088,-3.902,9.088,4.229,-3.324,-2.924,-2.504,-2.648
31,-5.7575,-4.921,-4.6075,-5.085,-4.988,-5.44,-5.183,-1.334,-0.886,5.16,-2.6,-2.878,-8.683,-9.1725,-9.721,-8.008,-7.14,-2.683,8.366,3.614,-3.426,-3.022,-2.604,-2.78
32,-5.9175,-5.078,-4.7575,-5.304,-5.336,-5.727,-5.388,-1.596,-1.036,4.912,-2.87,-3.164,-8.934,-9.5225,-10.184,-8.676,-7.467,-2.488,7.604,2.964,-3.52,-3.124,-2.712,-2.912
33,-6.0825,-5.235,-4.955,-5.608,-5.574,-5.93,-5.621,-1.738,-1.254,4.744,-3.074,-3.411,-9.195,-9.915,-10.604,-8.874,-7.48,-3.221,6.962,2.246,-3.654,-3.206,-2.78,-3.02
34,-6.255,-5.405,-5.0725,-5.43,-4.548,-3.026,-5.715,-0.064,-1.185,4.644,-3.23,-3.693,-9.475,-10.1675,-10.67,-8.108,-4.846,-2.015,16.536,1.815,-3.746,-3.302,-2.904,-3.04
35,-6.435,-5.517,-5.095,-5.587,-4.746,-3.28,-5.924,-0.258,-1.232,4.512,-3.374,-3.95,-9.681,-10.285,-10.831,-8.206,-5.6,-2.724,15.842,1.268,-3.866,-3.35,-3.068,-3.156
36,-6.6325,-5.667,-5.185,-5.712,-4.574,-1.911,-5.964,-0.488,-1.471,4.358,-3.515,-4.031,-9.951,-10.555,-11.152,-8.114,-4.271,-1.464,15.112,0.529,-4.006,-3.452,-3.084,-3.32
37,-6.8075,-5.78,-5.2875,-5.629,-4.41,-2.119,-6.127,-0.702,-1.689,4.124,-3.709,-4.305,-10.16,-10.8125,-11.265,-8.03,-4.289,-1.227,14.398,-0.189,-4.112,-3.522,-3.232,-3.388
38,-6.99,-5.938,-5.475,-5.929,-4.692,-2.39,-6.361,-1.03,-1.805,3.898,-3.901,-4.545,-10.434,-11.125,-11.697,-8.392,-4.83,-1.961,13.57,-0.805,-4.188,-3.64,-3.344,-3.456
39,-7.1625,-6.073,-5.5575,-6.082,-4.492,-2.509,-6.459,-1.242,-1.909,4.148,-3.89,-4.637,-10.699,-11.3725,-11.838,-8.272,-4.529,-1.659,12.858,-1.409,-4.268,-3.76,-3.444,-3.54
40,-7.3775,-6.219,-5.66,-5.985,-3.438,-1.126,-6.496,-0.474,-1.986,3.968,-4.03,-4.797,-10.957,-11.63,-11.873,-7.358,-3.186,-0.396,17.326,-1.986,-4.378,-3.844,-3.556,-3.576
41,-7.5675,-6.363,-5.685,-6.077,-3.724,-1.321,-6.597,-0.706,-2.083,3.744,-4.301,-5.111,-11.199,-11.805,-12.081,-7.784,-3.191,0.803,16.594,-2.583,-4.476,-3.956,-3.636,-3.636
42,-7.75,-6.488,-5.7075,-6.154,-3.116,0.027,-1.785,0.97,5.62,13.898,11.882,-1.935,-11.454,-11.9225,-12.178,-7.316,-1.883,6.015,26.17,44.62,-4.57,-4.082,-3.696,-3.72
43,-7.9275,-6.661,-5.81,-6.452,-3.418,-0.234,-1.9,0.714,5.377,13.81,11.982,-2.002,-11.763,-12.18,-12.608,-7.818,-2.414,6.3,25.414,43.877,-4.68,-4.172,-3.796,-3.788
44,-8.145,-6.845,-5.995,-6.578,-3.292,-0.475,-2.155,0.408,5.047,13.512,11.705,-2.325,-12.055,-12.535,-12.962,-7.892,-2.465,5.545,24.608,43.047,-4.792,-4.272,-3.872,-3.992
45,-8.35,-6.986,-6.16,-6.792,-3.622,-0.827,-2.459,0.058,4.746,13.214,11.424,-2.644,-12.318,-12.88,-13.356,-8.482,-3.317,4.741,23.758,42.246,-4.904,-4.362,-3.968,-4.06
46,-8.5025,-7.108,-6.155,-6.796,-3.9,-1.123,-2.702,-0.148,4.525,13.148,11.338,-2.797,-12.534,-13.015,-13.508,-8.9,-3.883,3.998,23.052,41.525,-4.978,-4.472,-4.1,-4.256
47,-8.6625,-7.273,-6.275,-7.094,-4.224,-1.408,-2.989,-0.478,4.207,12.868,11.012,-3.034,-12.819,-13.325,-13.874,-9.484,-4.438,3.211,22.222,40.707,-5.096,-4.55,-4.208,-4.316
48,-8.8375,-7.424,-6.425,-7.267,-4.092,-1.642,-3.196,-0.722,3.906,12.596,10.759,-3.171,-13.072,-13.625,-14.035,-9.612,-4.712,2.504,21.478,39.906,-5.198,-4.666,-4.272,-4.432
49,-9.025,-7.595,-6.615,-7.387,-4.292,-1.908,-3.408,-0.042,3.769,12.34,10.454,-3.502,-13.365,-13.995,-14.319,-9.652,-5.248,2.692,25.858,39.269,-5.308,-4.762,-4.36,-4.548
50,-9.225,-7.758,-6.7475,-7.698,-4.596,-2.251,-3.688,-0.32,3.492,12.234,10.402,-3.709,-13.674,-14.2925,-14.746,-10.096,-6.091,1.912,25.08,38.492,-5.408,-4.874,-4.436,-4.608
51,-9.4525,-7.928,-6.8375,-7.812,-4.416,-2.368,-3.652,-0.466,3.427,12.184,10.445,-3.776,-13.974,-14.5625,-15.008,-9.996,-5.788,4.148,24.434,37.927,-5.512,-4.972,-4.532,-4.748
52,-9.6375,-8.122,-7.03,-7.934,-4.676,-2.63,-3.83,-0.728,3.299,11.914,10.423,-3.927,-14.316,-14.89,-15.358,-10.276,-6.32,4.37,23.672,37.299,-5.626,-5.058,-4.632,-4.8
53,-9.785,-8.232,-7.1025,-8.196,-4.966,-2.897,-4.08,-1.062,2.978,11.612,10.105,-4.209,-14.546,-15.0575,-15.64,-10.766,-6.857,3.62,22.838,36.478,-5.708,-5.15,-4.784,-4.924
54,-9.995,-8.418,-7.385,-8.508,-5.336,-3.216,-4.367,-1.424,2.603,11.242,9.75,-4.535,-14.834,-15.505,-16.1,-11.456,-7.676,2.833,21.976,35.603,-5.83,-5.25,-4.84,-5.04
55,-10.19,-8.556,-7.585,-8.795,-5.668,-3.415,-4.584,-1.708,2.445,10.992,9.513,-4.798,-15.098,-15.855,-16.487,-12.048,-7.685,2.116,21.192,34.945,-5.928,-5.374,-4.896,-5.132
56,-10.36,-8.686,-7.635,-8.78,-5.554,-3.668,-4.828,-2.016,2.229,10.762,9.271,-5.084,-15.358,-16.005,-16.556,-12.254,-8.208,1.372,20.384,34.229,-6.018,-5.488,-4.988,-5.312
57,-10.515,-8.803,-7.755,-8.994,-5.856,-3.947,-5.123,-2.374,1.886,10.482,8.981,-5.412,-15.579,-16.265,-16.95,-12.696,-8.757,0.577,19.526,33.386,-6.136,-5.556,-5.116,-5.38
58,-10.7,-9.038,-8.0275,-9.218,-6.198,-4.288,-5.395,-2.674,1.599,10.192,8.731,-5.468,-15.934,-16.6825,-17.418,-13.358,-9.598,-0.195,18.726,32.599,-6.292,-5.614,-5.188,-5.544
