draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12
1,-0.1925,-0.152,-0.1325,-0.008,-0.246,-0.227,-0.184,-0.272,-0.113,0.192,-0.033,-0.16
2,-0.3825,-0.341,-0.255,-0.146,-0.126,-0.519,-0.361,-0.572,-0.427,-0.076,-0.322,-0.424
3,-0.5625,-0.495,-0.3875,-0.26,0.086,-0.649,-0.369,-0.738,-0.502,-0.234,-0.344,-0.419
4,-0.7425,-0.629,-0.5375,-0.545,-0.242,-0.991,-0.624,-1.0,-0.76,-0.358,-0.554,-0.701
5,-0.88,-0.73,-0.5875,-0.7,-0.428,-1.174,-0.721,-0.226,-0.807,-0.468,-0.549,-0.581
6,-1.035,-0.891,-0.82,-1.007,-0.736,-1.409,-0.97,-0.48,-0.927,-0.672,-0.818,-0.844
7,-1.28,-1.08,-0.955,-1.042,-1.016,-1.66,-1.191,-0.742,-1.233,-0.928,-1.053,-1.072
8,-1.4625,-1.238,-1.175,-1.346,-1.34,-1.822,-1.169,0.02,-1.298,-0.96,-1.018,-0.918
9,-1.6725,-1.42,-1.365,-1.66,-1.634,-2.031,-1.323,-0.264,-1.441,-1.152,-1.001,-0.861
10,-1.8475,-1.592,-1.61,-1.701,-1.52,-2.221,-1.555,-0.57,-1.779,-1.438,-1.275,-1.169
11,-2.025,-1.709,-1.5975,-1.685,-1.318,-0.827,-1.605,0.238,-1.845,-1.478,-1.205,-1.273
12,-2.2025,-1.901,-1.86,-1.911,-1.222,-1.117,-1.871,-0.07,-2.158,-1.762,-1.446,-1.555
13,-2.39,-2.077,-2.04,-2.223,-1.552,-1.316,-2.049,-0.354,-2.426,-1.996,-1.594,-1.758
14,-2.595,-2.264,-2.275,-2.432,-1.85,-1.629,-2.283,-0.618,-2.519,-2.11,-1.551,-0.981
15,-2.725,-2.39,-2.44,-2.634,-2.098,-1.848,-2.522,-0.858,-2.607,-2.266,-1.795,-1.199
16,-2.9375,-2.595,-2.625,-2.745,-2.42,-2.12,-2.733,-1.152,-2.906,-2.508,-2.076,-1.371
17,-3.1475,-2.755,-2.7625,-3.056,-2.78,-2.474,-3.03,-1.466,-3.227,-2.73,-2.293,-1.51
18,-3.3175,-2.894,-2.8875,-3.333,-3.0,-2.654,-3.079,0.27,-3.118,-2.764,-2.368,-1.696
19,-3.4975,-3.082,-2.9825,-3.263,-2.876,-2.838,-3.288,0.014,-3.38,-3.004,-2.635,-2.02
20,-3.7225,-3.29,-3.135,-3.371,-2.642,-2.802,-3.262,0.856,0.433,6.866,-1.302,-1.252
21,-3.92,-3.436,-3.295,-3.492,-2.478,-2.998,-3.478,0.6,0.183,6.676,-1.484,-1.51
22,-4.095,-3.586,-3.49,-3.612,-2.754,-3.274,-3.723,0.302,-0.081,6.488,-1.672,-1.77
23,-4.265,-3.718,-3.5775,-3.691,-2.886,-3.52,-3.869,0.14,-0.247,6.458,-1.469,-1.645
24,-4.4675,-3.855,-3.6625,-3.772,-3.034,-3.691,-4.021,0.022,-0.414,6.274,-1.676,-1.879
25,-4.6825,-4.011,-3.76,-3.972,-3.304,-3.848,-4.211,-0.198,-0.6,6.092,-1.827,-2.103
26,-4.86,-4.16,-3.9775,-4.277,-3.616,-4.167,-4.432,-0.308,-0.426,6.068,-1.818,-2.227
27,-5.0525,-4.328,-4.1125,-4.457,-3.898,-4.428,-4.638,-0.434,-0.295,5.976,-1.867,-2.218
28,-5.2325,-4.48,-4.2225,-4.468,-4.112,-4.696,-4.816,-0.644,-0.409,5.688,-2.107,-2.395
29,-5.415,-4.649,-4.37,-4.668,-4.366,-5.003,-5.028,-0.912,-0.708,5.482,-2.353,-2.587
30,-5.56,-4.773,-4.4675,-4.782,-4.68,-5.198,-5.102,-1.112,-0.771,5.392,-2.533,-2.742
31,-5.7575,-4.921,-4.6075,-5.085,-4.988,-5.44,-5.183,-1.334,-0.886,5.16,-2.6,-2.878
32,-5.9175,-5.078,-4.7575,-5.304,-5.336,-5.727,-5.388,-1.596,-1.036,4.912,-2.87,-3.164
33,-6.0825,-5.235,-4.955,-5.608,-5.574,-5.93,-5.621,-1.738,-1.254,4.744,-3.074,-3.411
34,-6.255,-5.405,-5.0725,-5.43,-4.548,-3.026,-5.715,-0.064,-1.185,4.644,-3.23,-3.693
35,-6.435,-5.517,-5.095,-5.587,-4.746,-3.28,-5.924,-0.258,-1.232,4.512,-3.374,-3.95
36,-6.6325,-5.667,-5.185,-5.712,-4.574,-1.911,-5.964,-0.488,-1.471,4.358,-3.515,-4.031
37,-6.8075,-5.78,-5.2875,-5.629,-4.41,-2.119,-6.127,-0.702,-1.689,4.124,-3.709,-4.305
38,-6.99,-5.938,-5.475,-5.929,-4.692,-2.39,-6.361,-1.03,-1.805,3.898,-3.901,-4.545
39,-7.1625,-6.073,-5.5575,-6.082,-4.492,-2.509,-6.459,-1.242,-1.909,4.148,-3.89,-4.637
40,-7.3775,-6.219,-5.66,-5.985,-3.438,-1.126,-6.496,-0.474,-1.986,3.968,-4.03,-4.797
