strategy,stake_per_draw,mean_profit_per_draw,mean_final_profit,median_final_profit,stdev_final_profit,min_final_profit,max_final_profit,payout_hit_pct,profitable_run_pct,mean_rtp
plain_kino_1,0.5,-0.187545,-1875.45,-1877.5,55.0421,-2057.5,-1692.5,24.9964,0.0,0.62491
plain_kino_2,0.5,-0.160135,-1601.349,-1602.25,61.5467,-1763.0,-1423.5,43.9709,0.0,0.67973
plain_kino_3,0.5,-0.153092,-1530.925,-1529.375,156.1055,-1956.25,-1046.25,15.248,0.0,0.693815
plain_kino_4,0.5,-0.155024,-1550.241,-1563.25,307.6778,-2315.5,-575.5,25.8617,0.0,0.689952
plain_kino_5,0.5,-0.150546,-1505.462,-1523.5,584.5546,-2986.0,891.0,9.6528,1.4,0.698908
plain_kino_6,0.5,-0.154264,-1542.644,-1728.25,945.0204,-3047.0,2437.0,16.1284,6.0,0.691471
plain_kino_7,0.5,-0.14887,-1488.698,-2065.75,1284.2171,-2710.5,5386.5,23.6119,22.0,0.70226
plain_kino_8,0.5,-0.14971,-1497.102,-1905.5,1868.4802,-3119.0,7349.0,10.2111,6.0,0.70058
plain_kino_9,0.5,-0.141683,-1416.829,-2160.75,2127.2431,-2940.5,17686.0,15.2754,9.4,0.716634
plain_kino_10,0.5,-0.153798,-1537.976,-1884.5,1334.1082,-2715.0,3938.0,11.0414,7.4,0.692405
plain_kino_11,0.5,-0.158223,-1582.232,-1723.75,859.5989,-2714.0,6495.5,13.087,1.4,0.683554
plain_kino_12,0.5,-0.14633,-1463.3,-1556.5,843.8621,-2800.5,11378.5,6.3409,2.4,0.70734
para1_kino_2,1.0,-0.280431,-2804.307,-2808.25,83.094,-3040.0,-2571.0,43.9709,0.0,0.719569
para1_kino_3,1.0,-0.306627,-3066.275,-3064.375,198.3025,-3743.75,-2511.25,15.248,0.0,0.693373
para1_kino_4,1.0,-0.309944,-3099.441,-3131.5,370.9731,-4136.5,-1974.0,25.8617,0.0,0.690056
para1_kino_5,1.0,-0.288314,-2883.142,-2898.0,739.7703,-4805.0,-479.0,9.6528,0.0,0.711686
para1_kino_6,1.0,-0.303376,-3033.764,-3114.0,1216.168,-6429.0,1922.0,16.1284,1.4,0.696624
para1_kino_7,1.0,-0.32019,-3201.898,-3422.0,1826.8559,-6810.5,3473.5,23.6119,5.0,0.67981
para1_kino_8,1.0,-0.32841,-3284.102,-2775.0,3707.7028,-8119.0,12849.0,10.2111,18.8,0.67159
para1_kino_9,1.0,-0.263683,-2636.829,-7160.75,7577.6375,-7940.5,29031.5,15.2754,31.8,0.736317
parity_odd,0.5,-0.10199,-1019.896,-1018.0,47.4469,-1188.0,-852.0,39.801,0.0,0.796021
parity_even,0.5,-0.101386,-1013.86,-1014.5,50.2294,-1198.0,-867.0,39.8614,0.0,0.797228
parity_draw,0.5,-0.093249,-932.488,-932.0,83.5182,-1124.0,-680.0,20.3376,0.0,0.813502
column_random,0.5,-0.100097,-1000.968,-1008.0,122.6896,-1352.0,-616.0,9.9976,0.0,0.799806
