global_draw,segment,chosen_strategy,cumulative_profit,bankroll
20001,1,parity_fixed_odd_t10_mg5,0.0,500.0
20002,1,parity_fixed_odd_t10_mg5,0.0,500.0
20003,1,parity_fixed_odd_t10_mg5,0.0,500.0
20004,1,parity_fixed_odd_t10_mg5,0.0,500.0
20005,1,parity_fixed_odd_t10_mg5,0.0,500.0
20006,1,parity_fixed_odd_t10_mg5,0.0,500.0
20007,1,parity_fixed_odd_t10_mg5,0.0,500.0
20008,1,parity_fixed_odd_t10_mg5,0.0,500.0
20009,1,parity_fixed_odd_t10_mg5,0.0,500.0
20010,1,parity_fixed_odd_t10_mg5,0.0,500.0
20011,1,parity_fixed_odd_t10_mg5,0.0,500.0
20012,1,parity_fixed_odd_t10_mg5,0.0,500.0
20013,1,parity_fixed_odd_t10_mg5,0.0,500.0
20014,1,parity_fixed_odd_t10_mg5,0.0,500.0
20015,1,parity_fixed_odd_t10_mg5,0.0,500.0
20016,1,parity_fixed_odd_t10_mg5,0.0,500.0
20017,1,parity_fixed_odd_t10_mg5,0.0,500.0
20018,1,parity_fixed_odd_t10_mg5,0.0,500.0
20019,1,parity_fixed_odd_t10_mg5,0.0,500.0
20020,1,parity_fixed_odd_t10_mg5,0.0,500.0
20021,1,parity_fixed_odd_t10_mg5,0.0,500.0
20022,1,parity_fixed_odd_t10_mg5,0.0,500.0
20023,1,parity_fixed_odd_t10_mg5,0.0,500.0
20024,1,parity_fixed_odd_t10_mg5,0.0,500.0
20025,1,parity_fixed_odd_t10_mg5,0.0,500.0
20026,1,parity_fixed_odd_t10_mg5,0.0,500.0
20027,1,parity_fixed_odd_t10_mg5,0.0,500.0
20028,1,parity_fixed_odd_t10_mg5,0.0,500.0
20029,1,parity_fixed_odd_t10_mg5,0.0,500.0
20030,1,parity_fixed_odd_t10_mg5,0.0,500.0
20031,1,parity_fixed_odd_t10_mg5,0.0,500.0
20032,1,parity_fixed_odd_t10_mg5,0.0,500.0
20033,1,parity_fixed_odd_t10_mg5,0.0,500.0
20034,1,parity_fixed_odd_t10_mg5,0.0,500.0
20035,1,parity_fixed_odd_t10_mg5,0.0,500.0
20036,1,parity_fixed_odd_t10_mg5,0.0,500.0
20037,1,parity_fixed_odd_t10_mg5,0.0,500.0
20038,1,parity_fixed_odd_t10_mg5,0.0,500.0
