segment,train_start,train_end,test_start,test_end,chosen_strategy,market,selector,threshold,progression,max_doublings,bankroll_before,train_profit,train_rtp,train_bets,test_profit,test_rtp,test_bets,test_hit_rate,test_max_drawdown,test_max_stake,test_ruin,test_ruin_draw_global,bankroll_after
1,1,20000,20001,25000,parity_fixed_odd_t12_flat,parity,fixed,12,flat,,500.0,-2.0,0.928571,28,-6.0,0.625,16,0.3125,9.0,1.0,False,,494.0
2,5001,25000,25001,30000,parity_fixed_odd_t12_flat,parity,fixed,12,flat,,494.0,-9.0,0.727273,33,-2.0,0.666667,6,0.333333,4.0,1.0,False,,492.0
3,10001,30000,30001,35000,parity_fixed_odd_t11_flat,parity,fixed,11,flat,,492.0,-11.0,0.784314,51,0.0,1.0,10,0.5,3.0,1.0,False,,492.0
4,15001,35000,35001,40000,parity_fixed_odd_t12_flat,parity,fixed,12,flat,,492.0,-9.0,0.709677,31,-4.0,0.714286,14,0.357143,7.0,1.0,False,,488.0
5,20001,40000,40001,45000,parity_fixed_even_t12_flat,parity,fixed,12,flat,,488.0,-4.0,0.894737,38,1.0,2.0,1,1.0,0.0,1.0,False,,489.0
6,25001,45000,45001,50000,parity_fixed_even_t11_flat,parity,fixed,11,flat,,489.0,-4.0,0.9375,64,-3.0,0.8,15,0.4,5.0,1.0,False,,486.0
7,30001,50000,50001,55000,parity_fixed_even_t12_flat,parity,fixed,12,flat,,486.0,-4.0,0.882353,34,-7.0,0.461538,13,0.230769,8.0,1.0,False,,479.0
8,35001,55000,55001,60000,parity_fixed_odd_t12_flat,parity,fixed,12,flat,,479.0,-4.0,0.904762,42,-11.0,0.421053,19,0.210526,12.0,1.0,False,,468.0
9,40001,60000,60001,65000,parity_fixed_even_t11_flat,parity,fixed,11,flat,,468.0,-2.0,0.964286,56,-3.0,0.769231,13,0.384615,5.0,1.0,False,,465.0
10,45001,65000,65001,70000,parity_fixed_even_t12_flat,parity,fixed,12,flat,,465.0,-8.0,0.777778,36,0.0,1.0,6,0.5,3.0,1.0,False,,465.0
11,50001,70000,70001,75000,parity_fixed_even_t11_flat,parity,fixed,11,flat,,465.0,-8.0,0.862069,58,-6.0,0.5,12,0.25,8.0,1.0,False,,459.0
12,55001,75000,75001,80000,parity_fixed_even_t10_flat,parity,fixed,10,flat,,459.0,-5.0,0.948454,97,-2.0,0.928571,28,0.464286,6.0,1.0,False,,457.0
13,60001,80000,80001,85000,parity_fixed_odd_t10_flat,parity,fixed,10,flat,,457.0,-2.0,0.976744,86,0.0,1.0,24,0.5,4.0,1.0,False,,457.0
14,65001,85000,85001,90000,parity_fixed_odd_t12_flat,parity,fixed,12,flat,,457.0,0.0,1.0,24,0.0,1.0,4,0.5,1.0,1.0,False,,457.0
15,70001,90000,90001,95000,parity_fixed_odd_t11_flat,parity,fixed,11,flat,,457.0,5.0,1.135135,37,-1.0,0.923077,13,0.461538,2.0,1.0,False,,456.0
16,75001,95000,95001,100000,parity_fixed_odd_t11_flat,parity,fixed,11,flat,,456.0,5.0,1.111111,45,-1.0,0.941176,17,0.470588,3.0,1.0,False,,455.0
17,80001,100000,100001,101952,parity_fixed_odd_t12_flat,parity,fixed,12,flat,,455.0,8.0,1.333333,24,0.0,0.0,0,0.0,0.0,0.0,False,,455.0
