segment,train_start,train_end,test_start,test_end,chosen_strategy,market,selector,threshold,progression,max_doublings,bankroll_before,train_profit,train_rtp,train_bets,test_profit,test_rtp,test_bets,test_hit_rate,test_max_drawdown,test_max_stake,test_ruin,test_ruin_draw_global,bankroll_after
1,1,20000,20001,25000,parity_fixed_odd_t10_mg5,parity,fixed,10,martingale,5,500.0,39.0,1.111748,88,-83.0,0.706714,38,0.342105,122.0,32.0,False,,417.0
2,5001,25000,25001,30000,parity_fixed_odd_t12_mg5,parity,fixed,12,martingale,5,417.0,12.0,1.083333,33,2.0,1.0625,6,0.333333,15.0,16.0,False,,419.0
3,10001,30000,30001,35000,parity_fixed_odd_t12_mg5,parity,fixed,12,martingale,5,419.0,10.0,1.0625,31,3.0,1.333333,5,0.6,3.0,4.0,False,,422.0
4,15001,35000,35001,40000,parity_fixed_odd_t12_mg5,parity,fixed,12,martingale,5,422.0,11.0,1.069182,31,-59.0,0.562963,14,0.357143,95.0,32.0,False,,363.0
5,20001,40000,40001,45000,parity_fixed_even_t11_mg5,parity,fixed,11,martingale,5,363.0,31.0,1.124498,69,7.0,1.777778,8,0.875,1.0,2.0,False,,370.0
6,25001,45000,45001,50000,parity_fixed_even_t11_mg5,parity,fixed,11,martingale,5,370.0,30.0,1.12605,64,6.0,1.078947,15,0.4,31.0,32.0,False,,376.0
7,30001,50000,50001,55000,parity_fixed_even_t11_mg5,parity,fixed,11,martingale,5,376.0,29.0,1.110266,63,-122.0,0.413462,19,0.315789,159.0,32.0,False,,254.0
8,35001,55000,55001,60000,parity_fixed_odd_t12_mg3,parity,fixed,12,martingale,3,254.0,-13.0,0.894309,42,-28.0,0.666667,19,0.210526,37.0,8.0,False,,226.0
9,40001,60000,60001,65000,parity_fixed_odd_t12_mg3,parity,fixed,12,martingale,3,226.0,-14.0,0.907895,47,-6.0,0.75,6,0.333333,15.0,8.0,False,,220.0
10,45001,65000,65001,70000,parity_fixed_odd_t12_mg5,parity,fixed,12,martingale,5,220.0,-14.0,0.939655,48,5.0,1.16129,12,0.416667,7.0,8.0,False,,225.0
11,50001,70000,70001,75000,parity_fixed_odd_t12_mg5,parity,fixed,12,martingale,5,225.0,-16.0,0.928571,45,2.0,1.5,3,0.666667,1.0,2.0,False,,227.0
12,55001,75000,75001,80000,parity_fixed_even_t11_mg5,parity,fixed,11,martingale,5,227.0,22.0,1.090164,51,8.0,1.307692,15,0.533333,3.0,4.0,False,,235.0
13,60001,80000,80001,85000,parity_fixed_even_t11_mg5,parity,fixed,11,martingale,5,235.0,22.0,1.090909,52,5.0,1.074627,14,0.357143,15.0,16.0,False,,240.0
14,65001,85000,85001,90000,parity_fixed_odd_t11_mg5,parity,fixed,11,martingale,5,240.0,22.0,1.135802,46,7.0,1.368421,11,0.636364,3.0,4.0,False,,247.0
15,70001,90000,90001,95000,parity_fixed_odd_t8_mg5,parity,fixed,8,martingale,5,247.0,35.0,1.035824,284,33.0,1.100304,79,0.417722,31.0,32.0,False,,280.0
16,75001,95000,95001,100000,parity_fixed_even_t10_mg5,parity,fixed,10,martingale,5,280.0,33.0,1.123596,74,11.0,1.097345,24,0.458333,31.0,32.0,False,,291.0
17,80001,100000,100001,101952,parity_fixed_odd_t8_mg5,parity,fixed,8,martingale,5,291.0,101.0,1.082181,315,6.0,1.428571,9,0.666667,3.0,4.0,False,,297.0
